1, 1, 469 
1, 2, 63 
1, 3, 71 
1, 4, 219 
1, 5, 483 
1, 6, 385 
1, 7, 170 
1, 8, 269 
1, 9, 792 
1, 10, 778 
1, 11, 383 
1, 12, 524 
1, 13, 703 
1, 14, 1175 
1, 15, 509 
10, 1, 74 
10, 2, 113 
10, 3, 160 
10, 4, 527 
10, 5, 191 
10, 6, 1210 
10, 7, 447 
10, 8, 244 
10, 9, 447 
10, 10, 613 
10, 11, 755 
10, 12, 318 
10, 13, 678 
10, 14, 696 
10, 15, 359 
100, 1, 47 
100, 2, 49 
100, 3, 64 
100, 4, 88 
100, 5, 101 
100, 6, 135 
100, 7, 133 
100, 8, 187 
100, 9, 519 
100, 10, 226 
100, 11, 222 
100, 12, 271 
100, 13, 376 
100, 14, 342 
100, 15, 340 
1000, 1, 46 
1000, 2, 59 
1000, 3, 63 
1000, 4, 81 
1000, 5, 124 
1000, 6, 144 
1000, 7, 709 
1000, 8, 175 
1000, 9, 207 
1000, 10, 199 
1000, 11, 275 
1000, 12, 740 
1000, 13, 343 
1000, 14, 331 
1000, 15, 322 
10000, 1, 70 
10000, 2, 66 
10000, 3, 78 
10000, 4, 78 
10000, 5, 119 
10000, 6, 288 
10000, 7, 158 
10000, 8, 801 
10000, 9, 167 
10000, 10, 228 
10000, 11, 248 
10000, 12, 260 
10000, 13, 873 
10000, 14, 511 
10000, 15, 625 
100000, 1, 414 
100000, 2, 401 
100000, 3, 426 
100000, 4, 626 
100000, 5, 617 
100000, 6, 1422 
100000, 7, 681 
100000, 8, 804 
100000, 9, 610 
100000, 10, 1361 
100000, 11, 2115 
100000, 12, 794 
100000, 13, 809 
100000, 14, 1016 
100000, 15, 1303 
1000000, 1, 3217 
1000000, 2, 1529 
1000000, 3, 1638 
1000000, 4, 1370 
1000000, 5, 1720 
1000000, 6, 1506 
1000000, 7, 1467 
1000000, 8, 1461 
1000000, 9, 1550 
1000000, 10, 2230 
1000000, 11, 1464 
1000000, 12, 1996 
1000000, 13, 1651 
1000000, 14, 1663 
1000000, 15, 1623 
10000000, 1, 26614 
10000000, 2, 14404 
10000000, 3, 15135 
10000000, 4, 12036 
10000000, 5, 14504 
10000000, 6, 13310 
10000000, 7, 16696 
10000000, 8, 12680 
10000000, 9, 13109 
10000000, 10, 12141 
10000000, 11, 12784 
10000000, 12, 13582 
10000000, 13, 13032 
10000000, 14, 12254 
10000000, 15, 12399 
100000000, 1, 261270 
100000000, 2, 138553 
100000000, 3, 140714 
100000000, 4, 118459 
100000000, 5, 127163 
100000000, 6, 120116 
100000000, 7, 119580 
100000000, 8, 118305 
100000000, 9, 118173 
100000000, 10, 118015 
100000000, 11, 117537 
100000000, 12, 116117 
100000000, 13, 116537 
100000000, 14, 115996 
100000000, 15, 117124 
